Nro.        Descripcion
----        -----------
  1         No existe el usuario. [1]
  2         No existe el programa de mensajeria. [2]
  3         No se indico el nombre de usuario. [3]
  4         No existe el tramo. [4]
  5         No existe el nombre de usuario para ese usuario y programa de mensajería. [5]
  6         No se ingreso un usuario. [6]
  7         No se ingreso la contraseña. [7]
  8         La fecha indicada es mayor a la actual. [8]
  9         No existe la moneda. [9]            
 10         No se indico la fecha de inicio de la vigencia. [10]
 11         No se indico el tipo de cambio. [11]
 12         El tipo de cambio debe ser mayor a cero. [12]
 13         No se indico el costo fijo del tramo. [13]
 14         El costo fijo del tramo debe ser mayor a cero. [14]
 15         No existe el combustible. [15]
 16         No existe el pais. [16]
 17         No se indico el precio del litro de combustible. [17]
 18         El precio del litro de combustible debe ser mayor a cero. [18]
 19         Supero la cantidad de tramos sin encontrar al destino. [19]           
 20         La ciudad origen no existe. [20]
 21         La ciudad destino no existe. [21]
 22         El importe es menor a cero. [22]
 23         La cantidad de lugares totales es menor que los lugares libres. [23]
 24         La cantidad de lugares libres es menor a cero. [24]
 25         La fecha menor debería ser mas chica que la fecha mayor. [25]
 26         No existe el id del recorrido indicado. [26]
 27	    No existe el usuario destino. [27]
 28	    No existe el usuario remitente. [28]
 29 	    No se indico el asunto del mensaje. [29]
 30	    No existe el mensaje. [30]
 31         El mensaje no puede ser borrado. Debe ser el usuario destinatario para poder hacerlo [31]
